Reporting Year,Reporting Month,D_Name,Proj_Name,Sec_NAme,AWC_ID,AWc_Name,Tot_Children_0to6M,Tot_Children_SC_0to6M,Tot_Children_ST_0to6M,Tot_Children_BC_0to6M,Tot_Children_OC_0to6M,Tot_Children_7Mto3Y,Tot_Children_SC_7Mto3Y,Tot_Children_ST_7Mto3Y,Tot_Children_BC_7Mto3Y,Tot_Children_OC_7Mto3Y,Tot_Children_3Yto6Y,Tot_Children_SC_3Yto6Y,Tot_Children_ST_3Yto6Y,Tot_Children_BC_3Yto6Y,Tot_Children_OC_3Yto6Y,Staff_Count,Budget
2025,10,WARANGAL,NARSAMPET,DUGGONDI,2112199,Chalaparthy,5,3,0,2,0,23,3,0,19,1,21,2,1,18,0,,
2025,10,KARIMNAGAR,GANGADHARA,Vedira,2002074,Venkatagiri,2,0,0,2,0,8,0,0,8,0,6,0,0,6,0,,
2025,10,KARIMNAGAR,GANGADHARA,Vedira,2002081,Kistaraopally,9,1,0,8,0,33,4,0,29,0,39,4,1,34,0,,
2025,10,JAYASHANKAR-BHUPALAPALLI,BHUPALPALLI,karlmarks colony,2111220,Laxmipur,2,0,2,0,0,9,0,8,0,1,7,0,7,0,0,,
2025,10,NIZAMABAD,ARMOOR,Jakranpally,1801265,Jakranpally-6,9,9,0,0,0,38,35,1,2,0,51,48,0,2,1,,
2025,10,NIZAMABAD,ARMOOR,Jakranpally,1801272,Mnoharabad,0,0,0,0,0,17,5,0,10,2,20,6,0,11,3,,
2025,10,NIZAMABAD,ARMOOR,Jakranpally,1801279,Kaligot-5,8,0,0,3,5,23,0,0,10,13,52,1,0,48,3,,
2025,10,JAYASHANKAR-BHUPALAPALLI,BHUPALPALLI,karlmarks colony,2102139,Karlmarks colony,6,3,0,3,0,34,6,4,23,1,13,5,1,7,0,,
2025,10,WARANGAL,NARSAMPET,NARSAMPET,2112006,Narsampet - VI,6,2,0,3,1,40,10,2,25,3,30,9,1,16,4,,
2025,10,WARANGAL,NARSAMPET,NARSAMPET,2112013,Rajupeta - II,0,0,0,0,0,3,3,0,0,0,10,10,0,0,0,,
2025,10,NIZAMABAD,BODHAN,Renjal,1804123,Renjal-3,6,0,0,4,2,42,1,0,26,15,41,0,0,27,14,,
2025,10,NIZAMABAD,BODHAN,Renjal,1804130,Neela-3,16,0,0,12,4,47,2,0,34,11,60,4,0,34,22,,
2025,10,NIZAMABAD,BODHAN,Renjal,1804137,Tadbiloli-1,4,0,0,4,0,44,1,1,36,6,92,1,0,73,18,,
2025,10,NIZAMABAD,BODHAN,Renjal,1804330,Veerannagutta,1,0,1,0,0,16,0,13,3,0,34,0,32,2,0,,
2025,10,KUMARAMBHEEM-ASIFABAD,KAGAZNAGAR (U),Nazrulnagar,1907060,Nazroolnagar - 2,6,0,0,1,5,31,0,0,0,31,28,0,0,1,27,,
2025,10,KUMARAMBHEEM-ASIFABAD,KAGAZNAGAR (U),Nazrulnagar,1913155,Kadamba,5,1,2,2,0,27,5,15,6,1,21,4,11,6,0,,
