state_code,LGD_ST_Code,state_name,district_code,LGD_Dist_Code,district_name,total_no_of_job_cards_issued,total_no_of_workers,total_no_of_active_job_cards,total_no_of_active_workers,sc_worker_percentage_against_acive_workers,st_worker_percentage_against_active_workers,approved_labour_budget,persondays_of_central_liability_so_far,sc_persondays_percentage_of_total,st_persondays_percentage_of_total,women_persondays_percentage_of_total,average_days_employment_per_household,average_wage_rate_per_day_per_person,total_no_of_HHs_completed_100_days,total_households_worked,total_individuals_worked,differently_abled_persons_worked,no_of_GPs_with_NIL_expenditure,total_no_of_works_taken_up_new_and_spillover,no_of_ongoing_works,no_of_completed_works,percentage_of_NRM_expenditure_in_MWC_blocks,percentage_of_category_B_works,percentage_expenditure_on_agriculture_and_allied_works,total_expenditure,wages,material_and_skilled_wages,total_admin_expenditure,district_normalized,Total_AWCs,Total_Children
12,6,HARYANA,1214,65.0,JIND,76572,150382,39824,86400,49125,0,950680,687809,384676,0,476991,28,393.094810274363,106,24414,31424,33,1,4984,3645,1339,59.28,63,30.39,3400.83637345,2703.7414836,588.85151985,108.24337,JIND,,
12,6,HARYANA,1215,63.0,HISAR,136173,264304,75330,158771,89083,0,2700020,1114734,627920,0,739070,22,400.150108205186,14,49621,66599,43,2,5974,4447,1527,68.04,29,42.83,6465.4550305,4460.6093072,1905.8415633,99.00416,HISAR,,
12,6,HARYANA,1216,74.0,SIRSA,134033,284638,60619,139782,88132,0,1315118,622814,376907,0,390022,16,398.963618656612,4,36784,50899,79,18,5708,4340,1368,72.49,40,62.23,3693.85570469999,2484.80127189999,1108.1158328,100.9386,SIRSA,,
12,6,HARYANA,1217,70.0,PANCHKULA,18183,27043,6224,10741,2978,0,123690,55814,15237,0,21946,24,402.793028989143,3,2260,2576,0,35,567,450,117,59.07,61,37.03,388.2913212,224.8149012,131.37825,32.09817,PANCHKULA,,
12,6,HARYANA,1218,61.0,FATEHABAD,81656,166479,64490,139081,86063,0,2700254,758988,470397,0,488658,20,389.310058683404,13,37229,54452,57,0,5034,3773,1261,51.43,7,31.14,7351.583110835,2954.81662819999,4330.212452635,66.55403,FATEHABAD,,
12,6,HARYANA,1219,604.0,MEWAT,170773,217815,25258,32558,561,0,1042622,127340,1662,0,56824,21,526.501680697346,0,5892,6965,1,199,4027,3339,688,44.65,19,37.77,970.593538335,670.4472402,227.485778135,72.66052,MEWAT,,
12,6,HARYANA,1220,64.0,JHAJJAR,69391,114317,16101,28991,15608,0,400925,277446,139675,0,169222,40,396.906139068504,2,6917,8345,1,26,2246,2008,238,58.32,69,39.17,1143.7208806,1101.2002066,1.988104,40.53257,JHAJJAR,,
12,6,HARYANA,1221,619.0,PALWAL,54233,69788,4158,5640,763,0,150060,44284,1921,0,17675,36,387.270695510794,0,1207,1495,14,244,966,760,206,80.25,29,58.5,177.2165248,171.4989548,0.0,5.71757,PALWAL,,
12,6,HARYANA,1222,701.0,CHARKI DADRI,35752,59257,7902,14127,6561,0,133160,87231,44847,0,56059,29,380.836362646307,1,2957,3641,9,69,554,488,66,97.22,0,89.21,390.427546953,332.2073675,35.061459453,23.15872,CHARKI DADRI,,
13,2,HIMACHAL PRADESH,1301,15.0,BILASPUR,96603,176706,46813,90647,22213,2708,947669,447661,103940,21062,276911,32,328.904550295872,240,13576,17824,22,0,12988,7786,5202,58.55,84,68.5,3107.493380908,1472.3773989,1433.422492008,201.69349,BILASPUR,,
13,2,HIMACHAL PRADESH,1302,16.0,CHAMBA,144071,264066,116496,220854,43988,55905,4460174,4860356,996140,1213748,3002855,53,319.211953038008,11875,91502,130899,122,0,47149,31794,15355,57.34,67,55.57,22955.391424563,15514.8373122,6848.181712363,592.3724,CHAMBA,,
13,2,HIMACHAL PRADESH,1303,17.0,HAMIRPUR,121185,184938,62145,101723,25393,822,1097890,586266,143575,5160,465741,26,279.790884513173,124,22252,26021,96,0,14183,6877,7306,55.16,78,59.57,3462.158554878,1640.318827,1501.866217878,319.97351,HAMIRPUR,,
13,2,HIMACHAL PRADESH,1304,18.0,KANGRA,314975,579149,146674,282821,67027,19099,3248108,2352289,546634,163573,1724076,32,294.910350675448,1334,73290,86580,354,1,42791,23206,19585,43.55,65,42.19,12970.665789971,6937.14373879999,4890.202671171,1143.31938,KANGRA,,
