state_name,district_name,total_no_of_active_workers,total_households_worked,approved_labour_budget,total_expenditure,wages,active_worker_ratio,job_card_activation_rate,work_completion_rate,average_days_employment_per_household
ODISHA,RAYAGADA,200447,80969,4189700,9603.076909522,8950.6642432,0.7767908698095294,0.7463992685735997,0.3217999061519844,44
ODISHA,NABARANGAPUR,259093,84572,5174900,13257.184440169,11529.3710132,0.7567322071124819,0.7289228257300808,0.42456575682382136,49
ODISHA,MALKANGIRI,160377,58522,3166600,9200.07331739499,7049.99010469999,0.8337943081738117,0.8054022003028822,0.3402022368622644,44
PUDUCHERRY,PONDICHERRY,74991,36734,950771,2582.15013070001,2291.89321230001,0.7779552881373515,0.7491697004534713,0.5482758620689655,20
PUDUCHERRY,KARAIKAL,17418,10881,549229,1311.890217,1240.633642,0.8424260011607662,0.8246197718631179,0.3360655737704918,35
PUNJAB,GURDASPUR,81776,31395,1441000,4094.45125073,2840.3376461,0.4727182338965611,0.462524249015343,0.17283813747228383,27
PUNJAB,AMRITSAR,78924,30110,1441000,3274.1682888,2397.9137759,0.5687888265901786,0.5467257421355782,0.13428538523551767,23
PUNJAB,FEROZEPUR                 ,122143,41181,1378000,4069.5381345,3450.5804246,0.5795002206164926,0.5492418751630765,0.22647989154993223,25
PUNJAB,LUDHIANA,91637,46971,1566000,6225.1453312,5559.8008936,0.6007841131850337,0.5562731464297792,0.038867464988837024,34
PUNJAB,JALANDHAR,50113,21358,1000000,2812.6312576,2290.5089993,0.4635114136668023,0.445650324493814,0.11301587301587301,31
PUNJAB,KAPURTHALA,40296,16591,752000,2388.9058074,1675.4273767,0.5738781206830255,0.5514212615080883,0.12814070351758794,28
PUNJAB,HOSHIARPUR,93619,35422,1378000,5422.634719121,4306.9462962,0.5576476334568328,0.5232851713721287,0.14393052302888368,33
PUNJAB,ROPAR,43410,19877,940000,4296.902843845,2900.7256583,0.5442509497122654,0.4984162539593651,0.28221528861154443,41
PUNJAB,PATIALA,132511,58704,1400000,5405.50372900001,4989.799076,0.691364143875283,0.6406706579629365,0.4384815135402498,24
PUNJAB,SANGRUR,102188,45539,1316000,5253.415302329,4552.43811,0.7236444236720415,0.6739763558700436,0.24860853432282004,28
PUNJAB,BHATINDA                  ,118763,44020,1316000,3850.0401002,3310.6744318,0.696124403596591,0.637104445119978,0.18025579536370903,21
PUNJAB,FARIDKOT,68811,25708,814000,2807.147028706,2345.588826,0.7748026708403238,0.7431000395413206,0.22544080604534006,26
PUNJAB,NAWANSHAHR ,43935,21548,940000,2999.44302335,2718.5558112,0.640125300502659,0.6092992171090319,0.2774055213079603,35
PUNJAB,MOGA,94543,33301,940000,3444.6484795,3050.717054,0.6052417625330491,0.568004354288346,0.1696885169688517,26
PUNJAB,MUKATSAR,153788,53412,1065000,5007.52427042997,3332.37380169997,0.7157624302449513,0.6733502428958342,0.12226990939437292,18
PUNJAB,MANSA,95096,32733,876649,3242.611131915,2711.3060035,0.6333189037994073,0.5687876633291761,0.1024653312788906,26
PUNJAB,FATEHGARH SAHIB,53860,26721,1001599,4109.0840437,3823.5420932,0.6762763366063133,0.6265674268534135,0.3490909090909091,41
PUNJAB,SAS NAGAR MOHALI,22273,10791,600000,1773.5153212,1432.2910069,0.4656992911953499,0.43817510343487076,0.09172852598091198,37
PUNJAB,TARN TARAN,87141,36851,1252752,4801.34999796499,3710.33412749999,0.5541170410972841,0.5759414174417745,0.1078536847767617,29
PUNJAB,BARNALA,42886,17211,900000,2138.411267092,1875.7241679,0.6787155585800877,0.6409899817146978,0.08191770479426198,31
PUNJAB,Pathankot,35728,14151,689000,2644.2152421,1853.1373149,0.5657192621328477,0.5587322695035462,0.21516571230262016,37
PUNJAB,Fazilka,219182,78623,1504000,7981.59750748699,4748.61688339999,0.7760797671569495,0.7493570552470886,0.09914340101522842,18
PUNJAB,MALERKOTLA,19867,9965,489000,1565.778498194,1211.3382393,0.6608455576622426,0.6068019093078759,0.10298420128730251,34
RAJASTHAN,SRI GANGANAGAR,480630,118949,3797886,7896.89773773799,5916.87002139999,0.77362250350893,0.7587902985770164,0.28630141757514543,24
RAJASTHAN,HANUMANGARH,434070,132722,5824160,10973.023979907,9230.0884537,0.7077082103739162,0.6990142012747919,0.2584327086882453,34
RAJASTHAN,BIKANER,554487,82678,3904499,19983.106995011,9055.67236370004,0.6902889197627691,0.686289879697907,0.20275344180225283,39
RAJASTHAN,CHURU,505051,133380,6888588,15758.543688313,12017.2696864,0.6861891544150115,0.6719562871884714,0.1313656977176418,39
RAJASTHAN,JHUNJHUNU,132800,24353,1241323,2671.750646975,1990.8467214,0.37344911755773275,0.3593328982822499,0.17607148767168626,42
RAJASTHAN,ALWAR,323331,63096,2241205,5404.154049372,4219.730043,0.5440379460792809,0.5274967352966303,0.14035638590156213,28
