,state_code,LGD_ST_Code,district_code,LGD_Dist_Code,total_no_of_job_cards_issued,total_no_of_workers,total_no_of_active_job_cards,total_no_of_active_workers,sc_worker_percentage_against_acive_workers,st_worker_percentage_against_active_workers,approved_labour_budget,persondays_of_central_liability_so_far,sc_persondays_percentage_of_total,st_persondays_percentage_of_total,women_persondays_percentage_of_total,average_days_employment_per_household,average_wage_rate_per_day_per_person,total_no_of_HHs_completed_100_days,total_households_worked,total_individuals_worked,differently_abled_persons_worked,no_of_GPs_with_NIL_expenditure,total_no_of_works_taken_up_new_and_spillover,no_of_ongoing_works,no_of_completed_works,percentage_of_NRM_expenditure_in_MWC_blocks,percentage_of_category_B_works,percentage_expenditure_on_agriculture_and_allied_works,total_expenditure,wages,material_and_skilled_wages,total_admin_expenditure
approved_labour_budget,-0.027063314589294094,0.07496274848576268,-0.026739394486800155,-0.06667520826485522,0.530145764985496,0.4822317200989989,0.85896546326313,0.8203181432276446,0.5089319605533195,0.3822949433504413,1.0,0.9372263201621971,0.6175256050726055,0.4137454134434217,0.8772944906325092,0.2229009632234025,0.0038988736054463864,0.524648996715409,0.8841629786342581,0.8725914244672462,0.4806418563162846,-0.2211152008396441,0.731888277325492,0.7165383326515722,0.5448693183193651,0.26135017144648653,0.13517038869419548,0.12500227539729733,0.9019724860504748,0.9123681501416209,0.736311790359533,0.39802840252969107
persondays_of_central_liability_so_far,-0.024458128869989368,0.11966736820724837,-0.023717076693339403,-0.040418674319539744,0.5464892346237236,0.4801945423598646,0.885833980644257,0.8163453866520854,0.5463953026488754,0.3398602278064682,0.9372263201621971,1.0,0.7072374230098056,0.3910543699608256,0.9449357703756176,0.2589784601961448,-0.007330524246631942,0.5614088148846513,0.9431403270483195,0.9144278289795661,0.5469489483053933,-0.24561277896400208,0.7396758198167604,0.712035677178614,0.5795179259409549,0.278593867288895,0.11601943742709687,0.1128873793967636,0.9583687364014736,0.9756634576697739,0.7611801692074865,0.47073173649456423
sc_persondays_percentage_of_total,0.09504642581658194,0.024482755867142707,0.09697438249716288,-0.10320269530177004,0.37987886995744424,0.28829230076455986,0.7164330414682373,0.5920099388710771,0.8719701780640573,-0.07924524698709261,0.6175256050726055,0.7072374230098056,1.0,-0.06165598276688148,0.7015986234379092,0.05121202261573687,-0.0061327198428902064,0.28188376753529537,0.7431503134440323,0.6691221736905538,0.47421905585583307,-0.18641044993710756,0.3995293403198882,0.36794774990536977,0.3526382428832023,0.3715031885011862,-0.11479413614601099,0.16750011187441424,0.6850249592981908,0.6730574063173198,0.5890863142168414,0.4477455802375257
st_persondays_percentage_of_total,0.044573821785660474,0.06382060780212405,0.04345366633327655,0.03913149666101583,0.02442148721729183,0.08351081682680361,0.20482169906652953,0.29181726519477186,-0.11871085291830756,0.8827086059301162,0.4137454134434217,0.3910543699608256,-0.06165598276688148,1.0,0.32572430719766216,0.2924270948755259,-0.03692109201621316,0.40924004324530633,0.28637033144662216,0.34103796020048804,0.2053028117178649,-0.11151069881229903,0.3189107730527661,0.3274453807736338,0.20120234356321068,0.0306536135943056,0.14043286308415265,0.023666410756864834,0.3261444284327164,0.36283548706533336,0.1870641350852461,0.13844671518168136
women_persondays_percentage_of_total,-0.017270059530118554,0.18367437007145818,-0.017395638154687126,0.01583735792859527,0.49493478583010975,0.42466873408256994,0.8503616727177953,0.7650777374530323,0.542801456234942,0.2760232595514375,0.8772944906325092,0.9449357703756176,0.7015986234379092,0.32572430719766216,1.0,0.17000296054588748,0.007827396301042375,0.4793311607719945,0.9332597425762251,0.8693168681749861,0.6142524007945743,-0.2178010638686732,0.6030077913918612,0.5763649050191668,0.4822193473900958,0.2728275379040441,0.08755314110819667,0.09007103581043487,0.9004486463594978,0.9224001589800128,0.6991937061851199,0.4594152504787073
average_days_employment_per_household,-0.17754927773566034,-0.12699678768611425,-0.17757118498008687,-0.0569768072973513,-0.21179844700833353,-0.2529542162748979,-0.005141701220243642,-0.030402553334688668,-0.16995469122341644,0.12290436902796999,0.2229009632234025,0.2589784601961448,0.05121202261573687,0.2924270948755259,0.17000296054588748,1.0,0.18583055895571343,0.294165529062032,0.06842889442871308,0.06565037206109604,-0.07383434085927977,-0.3950384027402954,0.17225448959935497,0.16999534597255428,0.12501814969834094,0.2584425429468503,-0.05557014337824305,0.2352047247266178,0.21992969903090193,0.26365107043885594,0.09207972969421316,-0.0017717767653889667
average_wage_rate_per_day_per_person,-0.19659761290670338,0.0937180275831804,-0.1977096356087497,0.05756325101476964,-0.22634011559693015,-0.22994004636951954,-0.07598019601390847,-0.049422923710732786,-0.05854764009270874,-0.05314908146383237,0.0038988736054463864,-0.007330524246631942,-0.0061327198428902064,-0.03692109201621316,0.007827396301042375,0.18583055895571343,1.0,0.09519710497311322,-0.0009396246395849852,0.021234627057331555,-0.018580925173041836,-0.1982956296581799,0.05312424874151341,0.06404051261869852,0.010927840010686326,0.32023520728613775,-0.14975876088291837,0.197360141446737,0.057197248240039855,0.0673696601187087,0.04016938471416582,-0.10632773777221882
total_no_of_HHs_completed_100_days,0.052347404136432275,0.12350222637127513,0.051873633879173,0.03244139041763856,0.25929267214474616,0.2871954318925521,0.3654918649025993,0.4269150607307364,0.14395844906808689,0.3057530819696733,0.524648996715409,0.5614088148846513,0.28188376753529537,0.40924004324530633,0.4793311607719945,0.294165529062032,0.09519710497311322,1.0,0.4063097383239222,0.47258223081715506,0.17530248346904348,-0.1148992100361371,0.5892722087030661,0.5837149763223946,0.4225141356469098,0.1267448844302891,0.1261744376860492,0.015674698704752115,0.6334313952511459,0.641184872360907,0.5139083234615777,0.29610602046476786
total_households_worked,0.013776366405242635,0.1979771684061986,0.01455924268264956,0.01844125256913543,0.559586089339101,0.4953917688385164,0.9289456163740185,0.8542444310752042,0.6453435555492546,0.28535961660715226,0.8841629786342581,0.9431403270483195,0.7431503134440323,0.28637033144662216,0.9332597425762251,0.06842889442871308,-0.0009396246395849852,0.4063097383239222,1.0,0.960551066993758,0.6745767603464131,-0.24776896853250963,0.6744982309963056,0.6402947745524048,0.5498620587811441,0.27121305293921555,0.09868021766022374,0.13499347143857712,0.9106205534794511,0.9145441085264816,0.7541519241160992,0.4428494120177419
total_individuals_worked,-0.027357458871589517,0.2652192766446234,-0.026522043241574842,0.08924281728129864,0.5278697308243542,0.5231237437946153,0.883767525880842,0.892616513342834,0.610533350783424,0.3632719087229116,0.8725914244672462,0.9144278289795661,0.6691221736905538,0.34103796020048804,0.8693168681749861,0.06565037206109604,0.021234627057331555,0.47258223081715506,0.960551066993758,1.0,0.6749898225176351,-0.24825389696707906,0.7369921825716378,0.716264091289821,0.561209494394512,0.23729279862719532,0.15248553956593883,0.09969452257267009,0.9157022866860318,0.9041387789748697,0.7904286146397712,0.48940203247250913
